Richard Starkey;04/07/1940;11111111122;Brasil;Minas Gerais;Belo Horizonte;Rua dos Guajajaras;900;;Centro;30180100;rstarr_beatles@yahoo.com.br;31969456725
James Marshall Hendrix;27/11/1942;11111111121;Brasil;Espírito Santo;Vitória;Avenida Saturnino de Brito;860;;Praia do Canto;29055235;hendrix_jimi@gmail.com;27967341143
Ronald James Padavona;10/07/1942;11111111132;Brasil;São Paulo;Santos;Avenida Ana Costa;700;;Gonzaga;11060001;blackronniejames@gmail.com;13987674122
Roger Keith Barrett;06/01/1946;11111111129;Brasil;Minas Gerais;Belo Horizonte;Rua dos Guajajaras;1002;ap 1202;Centro;30180100;pink_sydbarret@gmail.com;31985102934
Farrokh Bulsara;05/09/1946;11111111113;Brasil;São Paulo;Santo André;Rua João Cardoso;90;;Centro;9015220;qmercury@gmail.com;11972239533
Ronald Belford;09/07/1946;11111111137;Brasil;São Paulo;São Bernardo do Campo;Avenida Pereira Barreto;607;apto 80;Baeta Neves;9751000;bonscott@acdc.com;11958477374
James Newell Osterberg;21/04/1947;11111111125;Brasil;São Paulo;São Bernardo do Campo;Avenida Índico;700;;Jardim do Mar;750600;iggy_pop@gmail.com;11947218349
John Michael Osbourne;03/12/1948;11111111112;Brasil;Minas Gerais;Belo Horizonte;Rua dos Guajajaras;1121;ap 1202;Centro;30180100;ozzyos@yahoo.com.br;31989502136
Steven Victor Tallarico;26/03/1948;11111111128;Brasil;São Paulo;Guarulhos;Avenida Guarulhos;1640;;Vila Augusta;7023051;aerotyler@gmail.com;11956783421
Anthony Frank Iommi;19/02/1948;11111111131;Brasil;Minas Gerais;Belo Horizonte;Rua dos Goitacazes;1203;;Centro;30180100;blackiommi@gmail.com;31943445421
Chaim Witz;25/08/1949;11111111111;Brasil;São Paulo;Santos;Avenida Ana Costa;136;;Vila Matias;11060002;gsimmons@gmail.com;11933436067
Stanley Harvey Eisen;20/01/1952;11111111119;Brasil;São Paulo;São Paulo;Rua Groenlândia;1076;;Jardim America;1434100;kisstanley@yahoo.com.br;11972432322
Jeffrey Ross Hyman;19/05/1951;11111111120;Brasil;São Paulo;São Paulo;Avenida Celso Garcia;321;;Brás;3015000;ramhyman@yahoo.com.br;11981324564
Douglas Glenn Colvin;18/09/1951;11111111123;Brasil;São Paulo;São Bernardo do Campo;Av. Pery Ronchett;72;;Nova Petrópolis;9771001;deeramone@gmail.com;11972800915
Gordon Mathews Thomas Sumner;02/10/1951;11111111130;Brasil;Minas Gerais;Belo Horizonte;Rua dos Goitacazes;120;;Centro;30180100;thepolice@gmail.com;31967884365
John Simon Ritchie;10/05/1957;11111111133;Brasil;Mato Grosso;Cuiabá;Avenida General Mello;315;;Dom Aquio;78065290;vicioussid@yahoo.com.br;65955641125
Agenor de Miranda Araújo Neto;04/04/1958;11111111118;Brasil;Rio de Janeiro;Rio de Janeiro;Rua Humaitá;60;;Humaitá;22261001;caz_neto@gmail.com;21968734532
Renato Manfredini Júnior;27/03/1960;11111111114;Brasil;Rio de Janeiro;Rio de Janeiro;Rua Domingos Ferreira;140;;Copacabana;22050012;leg_urb@hotmail.com;21960042112
Paul David Hewson;10/05/1960;11111111135;Brasil;São Paulo;Santo André;Rua Campos Sales;454;;Centro;9015220;u2bono@hotmail.com;11967412343
Michael Peter Balzary;16/10/1962;11111111126;Brasil;Espírito Santo;Vitória;Rua Constante Sodré;1200;ap 180;Praia do Canto;29055420;redbalzary@hotmail.com;27967745890
Jeffrey Dean Isbell;08/04/1962;11111111127;Brasil;São Paulo;Guarulhos;Rua Joaquim Miranda;200;;Vila Augusta;7023051;rosesizzy@hotmail.com;11925237650
William Bruce Rose Jr.;06/02/1962;11111111136;Brasil;São Paulo;Santo André;Rua Campos Sales;542;;Centro;9015220;axlguns@gmail.com;11978594849
Fernando de Ouro Preto;27/04/1963;11111111117;Brasil;Paraná;Curitiba;Rua Louis Esquier;200;;Uberaba;81560440;kptl_ouropreto@gmail.com;11963523443
Michael Andrew McKagan;05/02/1964;11111111124;Brasil;Espírito Santo;Vitória;Avenida Saturnino de Brito;900;;Praia do Canto;29055235;gunsmckagan@hotmail.com;27943426785
Courtney Michelle Harrison;09/07/1964;11111111140;Brasil;Rio de Janeiro;Rio de Janeiro;Rua General Artigas;107;;Leblon;22441140;courtney@hotmail.com;21958647395
Saul Hudson;23/07/1965;11111111134;Brasil;Mato Grosso;Cuiabá;Avenida Dom Bosco;521;apto 73;Dom Aquio;78065290;gunsslash@gmail.com;65971112313
Brian Hugh Warner;05/01/1969;11111111138;Brasil;São Paulo;São Paulo;Rua Belém;333;ap 101;Belenzinho;3057010;manson@hotmail.com;11967723443
John Anthony Gillis;09/07/1975;11111111139;Brasil;São Paulo;São Paulo;Avenida Carlos de Campos;201;;Pari;3028001;jackwhite@hotmail.com;11958687496
Priscilla Novaes Leone;07/10/1977;11111111115;Brasil;Bahia;Salvador;Avenida Tancredo Neves;400;;Graça;41100800;pitty_leone@gmail.com;11985703244
Luis Guilherme Brunetta Fontenelle de Araújo;30/09/1977;11111111116;Brasil;Rio de Janeiro;Rio de Janeiro;Avenida Atlântica;1702;;Copacabana;22021000;detstcz@yahoo.com.br;21978554344
